keyword,category,industry,source_sheets,search_intent,funnel_stage,primary_or_secondary,target_url,target_page_type,content_type,cluster,seasonality,priority,cannibalization_risk,status,reason
AI employee welcome kit,All,AI / Tech Startups,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the AI / Tech Startups content on /industries/it-software-saas.
AI startup corporate gifts,All,AI / Tech Startups,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the AI / Tech Startups content on /industries/it-software-saas.
AI startup onboarding kit,All,AI / Tech Startups,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the AI / Tech Startups content on /industries/it-software-saas.
AI team gifts,All,AI / Tech Startups,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the AI / Tech Startups content on /industries/it-software-saas.
startup employee welcome kit,All,AI / Tech Startups,SEO Keywords,employee gifting,bottom,secondary,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/it-software-saas.
tech startup joining kit,All,AI / Tech Startups,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the AI / Tech Startups content on /industries/it-software-saas.
technology company gifts,All,AI / Tech Startups,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the AI / Tech Startups content on /industries/it-software-saas.
Christmas corporate gifts,All,All,SEO Keywords,seasonal,bottom,secondary,/occasions/festive-corporate-gifting,seasonal-landing,landing page copy,occasions,seasonal,2,none,targeted,Declared secondary keyword of /occasions/festive-corporate-gifting.
Diwali corporate gifts,All,All,SEO Keywords,seasonal,bottom,primary,/occasions/diwali-corporate-gifts,seasonal-landing,landing page copy,occasions,seasonal,1,none,targeted,Declared primary keyword of /occasions/diwali-corporate-gifts.
New Year corporate gifts,All,All,SEO Keywords,seasonal,bottom,primary,/occasions/new-year-corporate-gifts,seasonal-landing,landing page copy,occasions,seasonal,1,none,targeted,Declared primary keyword of /occasions/new-year-corporate-gifts.
best corporate gifts,All,All,SEO Keywords,informational,top,supporting,/guides/corporate-gifting-guide,guide,buying guide,guides,evergreen,3,low,targeted,Research intent served by the guides tier rather than a commercial page.
branded corporate gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
bulk corporate gifts,All,All,SEO Keywords,bulk purchase,bottom,primary,/gifting/bulk-corporate-gifting,use-case-landing,landing page copy,gifting,evergreen,1,none,targeted,Declared primary keyword of /gifting/bulk-corporate-gifting.
business appreciation gifts,All,All,SEO Keywords,commercial investigation,middle,secondary,/gifting/client-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/client-appreciation.
client appreciation gifts,All,All,SEO Keywords,client gifting,bottom,primary,/products/client-appreciation-desk-set,product,landing page copy,products,evergreen,1,none,targeted,Declared primary keyword of /products/client-appreciation-desk-set.
company gifts for employees,All,All,SEO Keywords,commercial investigation,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
